Date,Open,High,Low,Close,Volume,Adj Close
2011-09-13,2.385,2.45,2.255,2.375,613700,23.75
2011-09-12,2.348,2.55,2.25,2.375,2059300,23.75
2011-09-09,2.10,2.375,2.10,2.30,1326800,23.00
2011-09-08,2.101,2.20,2.05,2.15,1095800,21.50
2011-09-07,2.138,2.261,2.05,2.15,872200,21.50
2011-09-06,2.20,2.20,2.10,2.15,334900,21.50
2011-09-05,2.18,2.21,2.05,2.175,497000,21.75
2011-09-02,2.165,2.25,2.101,2.225,850200,22.25
2011-09-01,2.20,2.25,2.05,2.20,786900,22.00
2011-08-31,2.224,2.29,2.126,2.225,680000,22.25
2011-08-30,2.25,2.378,2.10,2.25,1862300,22.50
2011-08-26,2.54,2.85,2.15,2.30,4976000,23.00
2011-08-25,2.343,3.40,2.343,2.525,4617100,25.25
2011-08-24,2.20,2.35,2.032,2.325,2900100,23.25
2011-08-23,1.945,2.10,1.938,1.975,947400,19.75
2011-08-22,2.025,2.085,1.90,1.95,1937900,19.50
2011-08-19,1.92,2.073,1.85,1.95,1784600,19.50
2011-08-18,2.15,2.15,1.90,1.95,928800,19.50
2011-08-17,2.156,2.285,2.00,2.125,734700,21.25
2011-08-16,2.05,2.25,2.02,2.175,1758700,21.75
2011-08-15,2.098,2.20,2.007,2.025,1197000,20.25
2011-08-12,2.03,2.20,1.95,2.05,1552800,20.50
2011-08-11,1.95,2.10,1.863,1.975,1731100,19.75
2011-08-10,2.13,2.46,1.70,1.975,2644800,19.75
2011-08-09,1.90,2.15,1.86,2.10,1121400,21.00
2011-08-08,2.02,2.21,1.90,2.05,1697700,20.50
2011-08-05,2.00,2.355,1.688,2.10,3566800,21.00
2011-08-04,2.101,2.35,1.80,2.00,2405600,20.00
2011-08-03,2.15,2.27,2.002,2.125,3475300,21.25
2011-08-02,2.42,2.45,2.05,2.225,2354800,22.25
2011-08-01,2.693,2.92,2.35,2.425,2457200,24.25
2011-07-29,2.56,2.849,2.50,2.675,2264300,26.75
2011-07-28,2.435,2.66,2.401,2.55,2597300,25.50
2011-07-27,2.262,2.50,2.22,2.40,4543800,24.00
2011-07-26,2.35,2.35,2.02,2.20,5727800,22.00
2011-07-25,2.80,2.75,2.10,2.35,10980100,23.50
2011-07-22,3.05,3.49,2.965,3.20,2322600,32.00
2011-07-21,3.115,3.115,2.85,2.975,1260300,29.75
2011-07-20,3.12,3.30,2.95,3.15,1047200,31.50
2011-07-19,3.237,3.33,3.00,3.075,1348400,30.75
2011-07-18,3.39,3.45,3.15,3.275,1146500,32.75
2011-07-15,3.415,3.47,3.30,3.375,728300,33.75
2011-07-14,3.42,3.52,3.35,3.425,1010800,34.25
2011-07-13,3.535,3.535,3.333,3.45,452700,34.50
2011-07-12,3.564,3.61,3.254,3.525,1401600,35.25
2011-07-11,3.59,3.689,3.41,3.60,764300,36.00
2011-07-08,3.56,3.625,3.35,3.55,815600,35.50
2011-07-07,3.52,3.789,3.518,3.625,940900,36.25
2011-07-06,3.528,3.82,3.505,3.525,888800,35.25
2011-07-05,3.701,3.799,3.40,3.575,1606800,35.75
2011-07-04,3.71,4.00,3.65,3.75,1704500,37.50
2011-07-01,3.35,3.908,3.34,3.725,2980300,37.25
2011-06-30,3.418,3.50,3.20,3.35,1812400,33.50
2011-06-29,3.509,3.55,3.30,3.325,1253600,33.25
2011-06-28,3.351,4.00,3.30,3.525,3536700,35.25
2011-06-27,3.50,3.90,3.30,3.375,1457600,33.75
2011-06-24,3.44,3.80,3.40,3.525,2041000,35.25
2011-06-23,3.58,3.605,3.15,3.325,1553800,33.25
2011-06-22,3.425,3.848,3.425,3.60,1237900,36.00
2011-06-21,3.63,3.635,3.30,3.45,1084200,34.50
2011-06-20,3.84,4.00,3.454,3.65,1376000,36.50
2011-06-17,3.616,3.85,3.40,3.80,1874700,38.00
2011-06-16,3.775,3.78,3.55,3.65,1529000,36.50
2011-06-15,3.90,4.02,3.60,3.80,1220500,38.00
2011-06-14,3.86,3.92,3.695,3.85,696400,38.50
2011-06-13,3.87,4.025,3.775,3.90,1304700,39.00
2011-06-10,3.922,3.984,3.751,3.825,1223700,38.25
2011-06-09,4.00,4.01,3.744,3.90,940100,39.00
2011-06-08,4.048,4.355,3.95,4.00,1033400,40.00
2011-06-07,4.20,4.402,3.85,3.975,2470100,39.75
2011-06-06,3.70,4.11,3.70,3.95,2641000,39.50
2011-06-03,3.70,4.00,3.60,3.65,931800,36.50
2011-06-02,3.85,3.995,3.66,3.70,1010500,37.00
2011-06-01,3.929,4.00,3.75,3.925,1221300,39.25
2011-05-31,4.01,4.12,3.90,3.925,1457100,39.25
2011-05-27,3.82,4.105,3.50,4.025,3629500,40.25
2011-05-26,4.01,4.15,3.70,3.80,3109200,38.00
2011-05-25,4.34,4.60,3.90,4.05,3458100,40.50
2011-05-24,4.30,4.35,3.85,4.30,2284800,43.00
2011-05-23,4.47,4.60,4.154,4.325,1164800,43.25
2011-05-20,4.587,4.65,4.367,4.45,750500,44.50
2011-05-19,4.30,4.758,4.22,4.525,1842400,45.25
2011-05-18,4.75,4.90,4.201,4.35,3350500,43.50
2011-05-17,4.312,5.55,4.00,4.775,8836600,47.75
2011-05-16,4.64,4.74,4.20,4.35,2819500,43.50
2011-05-13,4.62,4.75,4.30,4.675,2930700,46.75
2011-05-12,4.752,4.85,4.50,4.65,1619800,46.50
2011-05-11,4.85,4.90,4.65,4.80,1572000,48.00
2011-05-10,5.00,5.05,4.704,4.85,1318500,48.50
2011-05-09,4.825,5.105,4.825,4.95,1664600,49.50
2011-05-06,4.65,4.976,4.10,4.825,3680000,48.25
2011-05-05,4.925,5.08,4.50,4.725,2445300,47.25
2011-05-04,5.005,5.10,4.85,4.95,2269800,49.50
2011-05-03,5.40,5.40,4.95,5.025,1553200,50.25
2011-04-28,5.135,5.43,5.135,5.325,1925800,53.25
2011-04-27,5.005,5.194,4.80,5.10,1829000,51.00
2011-04-26,5.30,5.325,4.932,5.075,1853700,50.75
2011-04-21,5.45,5.968,5.25,5.325,1879500,53.25
2011-04-20,4.852,5.60,4.591,5.50,5619800,55.00
2011-04-19,5.193,5.344,4.80,4.95,3646000,49.50
2011-04-18,5.315,5.422,4.93,5.175,2431300,51.75
2011-04-15,5.311,5.45,5.20,5.35,2253700,53.50
2011-04-14,5.52,5.70,5.30,5.35,2827400,53.50
2011-04-13,5.30,5.998,5.20,5.60,4427600,56.00
2011-04-12,5.641,5.80,5.25,5.325,4096300,53.25
2011-04-11,6.025,6.20,5.35,5.625,6663700,56.25
2011-04-08,6.35,6.42,5.925,6.00,3955800,60.00
2011-04-07,6.40,6.80,6.20,6.325,4625900,63.25
2011-04-06,5.50,6.60,5.50,6.375,6639200,63.75
2011-04-05,5.75,6.45,5.60,6.175,8302400,61.75
2011-04-04,5.34,5.90,5.25,5.675,5379600,56.75
2011-04-01,5.35,5.40,5.126,5.325,2397300,53.25
2011-03-31,5.272,5.472,5.126,5.325,2763500,53.25
2011-03-30,5.58,5.62,5.10,5.275,3117800,52.75
2011-03-29,5.62,5.62,5.15,5.55,4290600,55.50
2011-03-28,5.715,5.845,5.50,5.575,3197000,55.75
2011-03-25,5.70,5.883,5.429,5.75,4423500,57.50
2011-03-24,5.568,6.10,5.53,5.725,5522300,57.25
2011-03-23,5.452,5.755,4.75,5.475,13849900,54.75
2011-03-22,6.225,6.822,5.00,5.45,18720900,54.50
2011-03-21,4.997,6.40,4.958,5.975,18473000,59.75
2011-03-18,4.20,5.054,4.15,4.95,8380700,49.50
2011-03-17,4.54,5.134,3.942,4.125,7465000,41.25
2011-03-16,4.20,7.00,3.961,4.475,7458500,44.75
2011-03-15,4.151,4.16,3.50,4.025,5907200,40.25
2011-03-14,3.99,4.40,3.97,4.20,6519400,42.00
2011-03-11,3.94,4.20,3.55,4.00,5323200,40.00
2011-03-10,3.949,4.22,2.95,3.925,6267500,39.25
2011-03-09,3.95,4.52,3.70,3.925,13500100,39.25
2011-03-08,3.30,3.95,2.85,3.70,7593100,37.00
2011-03-07,3.14,3.316,3.00,3.25,3368200,32.50
2011-03-04,3.06,3.30,2.95,3.075,5927600,30.75
2011-03-03,2.844,3.10,2.80,3.025,3414400,30.25
2011-03-02,2.70,2.95,2.625,2.80,3002400,28.00
2011-03-01,2.569,2.75,2.50,2.65,2237400,26.50
2011-02-28,2.439,2.60,2.40,2.55,3690000,25.50
2011-02-25,2.40,2.59,2.30,2.40,1026600,24.00
2011-02-24,2.55,2.65,2.20,2.425,3044100,24.25
2011-02-23,2.683,2.70,2.40,2.575,2160700,25.75
2011-02-22,2.80,2.80,2.55,2.675,1695400,26.75
2011-02-21,2.70,2.85,2.58,2.70,2095900,27.00
2011-02-18,2.625,2.81,2.554,2.65,2616300,26.50
2011-02-17,2.80,2.86,2.55,2.60,6000100,26.00
2011-02-16,2.79,3.15,2.63,2.80,4414000,28.00
2011-02-15,3.05,3.35,2.50,2.70,12990100,27.00
2011-02-14,2.825,3.505,2.55,3.00,12022100,30.00
2011-02-11,2.375,2.85,2.303,2.775,19034600,27.75
2011-02-10,2.20,2.488,2.155,2.375,6363600,23.75
2011-02-09,2.35,2.35,2.15,2.20,3260600,22.00
2011-02-08,2.275,2.45,2.225,2.35,7258300,23.50
2011-02-07,2.075,2.40,2.03,2.25,10760200,22.50
2011-02-04,1.95,2.156,1.87,2.075,7555300,20.75
2011-02-03,1.975,2.03,1.90,1.95,1544800,19.50
2011-02-02,1.975,2.05,1.85,1.975,1801800,19.75
2011-02-01,1.925,2.10,1.85,1.975,1746900,19.75
2011-01-31,1.90,2.00,1.85,1.925,1187500,19.25
2011-01-28,1.925,2.00,1.85,1.90,1366000,19.00
2011-01-27,2.00,2.028,1.88,1.925,1656700,19.25
2011-01-26,2.025,2.04,1.90,2.00,1654500,20.00
2011-01-25,2.10,2.13,1.95,2.025,1986200,20.25
2011-01-24,1.975,2.243,1.98,2.10,3310600,21.00
2011-01-21,1.985,2.01,1.90,1.975,2089300,19.75
2011-01-20,2.025,2.02,1.90,1.975,3083000,19.75
2011-01-19,2.05,2.05,1.95,2.00,3154000,20.00
2011-01-18,2.05,2.136,1.98,2.05,7488100,20.50
2011-01-17,1.925,2.20,1.85,2.05,10135800,20.50
2011-01-14,1.925,2.00,1.80,1.875,3593800,18.75
2011-01-13,2.175,2.398,1.70,1.925,17176400,19.25
2011-01-12,1.975,2.38,2.00,2.175,13243800,21.75
2011-01-11,1.85,2.20,1.80,1.975,20511100,19.75
2011-01-10,1.425,1.80,1.45,1.75,11745900,17.50
2011-01-07,1.475,1.525,1.40,1.425,4032600,14.25
